"time","uid2","amount","sku"
"2023-01-01 08:02:45","10087","85.22","4"
"2023-01-01 08:07:43","10013","60.79","3"
"2023-01-01 08:15:29","10030","43.18","5"
"2023-01-01 08:18:21","10052","47.78","3"
"2023-01-01 08:21:53","10085","61.91","2"
"2023-01-01 08:23:19","10003","43.25","3"
"2023-01-01 08:23:31","10089","59.16","4"
"2023-01-01 08:39:50","10025","50.11","5"
"2023-01-01 08:44:55","10017","38.75","2"
"2023-01-01 08:48:20","10065","50.03","5"
"2023-01-01 08:51:29","10088","67.06","5"
"2023-01-01 09:05:14","10066","16.91","3"
"2023-01-01 09:05:17","10002","6.6","1"
"2023-01-01 09:11:33","10028","24.49","6"
"2023-01-01 09:12:03","10044","27.42","3"
"2023-01-01 09:35:03","10006","53.24","6"
"2023-01-01 09:35:17","10008","6.28","6"
"2023-01-01 09:47:45","10052","34.27","6"
"2023-01-01 09:53:23","10095","30.12","4"
"2023-01-01 09:57:34","10058","61.25","2"
"2023-01-01 10:02:32","10022","8.78","3"
"2023-01-01 10:02:45","10069","25.33","2"
"2023-01-01 10:09:19","10011","58.27","1"
"2023-01-01 10:14:57","10086","38.39","2"
"2023-01-01 10:15:42","10031","61.79","5"
"2023-01-01 10:19:05","10002","35.58","3"
"2023-01-01 10:33:36","10085","50.73","3"
"2023-01-01 10:42:40","10050","57.53","6"
"2023-01-01 10:47:43","10035","69.52","4"
"2023-01-01 10:51:05","10003","81.97","4"
"2023-01-01 10:54:34","10071","48.91","3"
"2023-01-01 11:01:20","10067","59.74","5"
"2023-01-01 11:08:01","10066","6.55","3"
"2023-01-01 11:20:47","10030","44.68","4"
"2023-01-01 11:21:04","10029","60.32","5"
"2023-01-01 11:32:05","10056","47.49","8"
"2023-01-01 11:39:01","10053","39.81","2"
"2023-01-01 11:56:27","10100","20.7","4"
"2023-01-01 12:02:27","10002","4.58","10"
"2023-01-01 12:03:04","10086","58.12","4"
"2023-01-01 12:06:23","10027","26.11","1"
"2023-01-01 12:18:51","10095","74.64","6"
"2023-01-01 12:26:54","10065","122.87","1"
"2023-01-01 12:29:57","10046","42.36","5"
"2023-01-01 12:31:58","10027","51.88","2"
"2023-01-01 12:34:22","10003","3.77","4"
"2023-01-01 12:35:13","10096","19.83","4"
"2023-01-01 12:37:28","10027","9.3","3"
"2023-01-01 12:37:39","10059","39.41","4"
"2023-01-01 12:39:57","10089","42.94","5"
"2023-01-01 12:45:57","10039","50.56","3"
"2023-01-01 12:50:05","10049","79.15","3"
"2023-01-01 13:05:38","10048","39.21","3"
"2023-01-01 13:06:40","10005","36.52","4"
"2023-01-01 13:10:03","10074","81.91","2"
"2023-01-01 13:12:05","10067","11.72","3"
"2023-01-01 13:12:54","10049","32.01","4"
"2023-01-01 13:19:57","10037","24.66","1"
"2023-01-01 13:26:22","10015","47.38","3"
"2023-01-01 13:30:27","10042","58.91","3"
"2023-01-01 13:58:07","10039","40","4"
"2023-01-01 14:01:49","10075","60.16","7"
"2023-01-01 14:02:59","10088","88.8","3"
"2023-01-01 14:12:40","10008","26.12","5"
"2023-01-01 14:14:40","10006","77","3"
"2023-01-01 14:15:57","10089","27.37","4"
"2023-01-01 14:18:24","10006","70.56","4"
"2023-01-01 14:18:50","10044","57.01","2"
"2023-01-01 14:23:18","10064","24.41","3"
"2023-01-01 14:26:12","10088","64.09","2"
"2023-01-01 14:29:37","10063","25.52","4"
"2023-01-01 14:35:30","10052","36.07","3"
"2023-01-01 14:42:04","10086","23.62","4"
"2023-01-01 14:42:16","10046","33.71","2"
"2023-01-01 14:45:02","10019","74.44","5"
"2023-01-01 14:47:11","10049","39.79","3"
"2023-01-01 14:50:12","10073","17.27","3"
"2023-01-01 15:02:01","10082","41.35","2"
"2023-01-01 15:03:12","10089","26.06","2"
"2023-01-01 15:04:14","10051","26.54","2"
"2023-01-01 15:05:40","10067","65.41","4"
"2023-01-01 15:16:31","10035","6.4","3"
"2023-01-01 15:19:50","10037","52.93","3"
"2023-01-01 15:23:32","10029","51.93","5"
"2023-01-01 15:30:40","10016","65.44","5"
"2023-01-01 15:33:30","10052","32.73","4"
"2023-01-01 15:36:02","10024","7.45","3"
"2023-01-01 15:42:22","10024","58.02","5"
"2023-01-01 15:46:54","10067","63.11","4"
"2023-01-01 15:51:43","10056","48.41","4"
"2023-01-01 15:58:02","10067","32.05","1"
"2023-01-01 16:08:05","10034","10.09","3"
"2023-01-01 16:17:33","10099","48.02","5"
"2023-01-01 16:23:58","10058","30.47","3"
"2023-01-01 16:29:06","10086","38.26","4"
"2023-01-01 16:43:21","10007","52.86","3"
"2023-01-01 16:44:51","10039","65.68","6"
"2023-01-01 16:49:46","10073","39.26","2"
"2023-01-01 16:53:40","10011","24.19","4"
"2023-01-01 16:53:42","10007","47.56","4"
"2023-01-01 16:54:59","10060","49.19","6"
"2023-01-01 17:02:38","10069","41.16","4"
"2023-01-01 17:08:48","10070","64.66","6"
"2023-01-01 17:13:32","10094","53.04","5"
"2023-01-01 17:23:11","10027","89.41","3"
"2023-01-01 17:28:33","10029","45.62","3"
"2023-01-01 17:37:46","10095","68.02","4"
"2023-01-01 17:49:32","10024","66.38","10"
"2023-01-01 17:49:35","10096","31.23","5"
"2023-01-01 17:50:43","10051","52.33","3"
"2023-01-01 18:03:58","10007","46.25","5"
"2023-01-01 18:10:55","10011","25.39","3"
"2023-01-01 18:11:29","10029","36.52","3"
"2023-01-01 18:18:46","10049","9.96","2"
"2023-01-01 18:35:29","10069","4.86","2"
"2023-01-01 18:42:01","10036","50.12","2"
"2023-01-01 18:50:52","10038","11.69","4"
"2023-01-01 18:55:46","10083","36.44","6"
"2023-01-01 19:01:38","10006","20.39","4"
"2023-01-01 19:03:42","10081","69.2","5"
"2023-01-01 19:11:19","10085","41.97","1"
"2023-01-01 19:14:52","10020","27.97","3"
"2023-01-01 19:19:05","10013","60.46","3"
"2023-01-01 19:25:20","10082","27.09","6"
"2023-01-01 19:28:13","10039","25.93","7"
"2023-01-01 19:28:53","10095","3.26","2"
"2023-01-01 19:31:02","10073","47.2","6"
"2023-01-01 19:31:20","10050","43.93","3"
"2023-01-01 20:04:57","10016","58.22","2"
"2023-01-01 20:17:06","10029","80.51","4"
"2023-01-01 20:35:34","10049","21.48","4"
"2023-01-01 20:44:31","10073","27.55","4"
"2023-01-01 20:46:20","10086","96.58","4"
"2023-01-01 20:53:11","10066","31.66","5"
"2023-01-01 20:57:04","10081","45.35","4"
"2023-01-01 21:01:08","10063","44.73","5"
"2023-01-01 21:04:53","10008","55.94","5"
"2023-01-01 21:10:41","10006","42.42","6"
"2023-01-01 21:12:32","10075","50.88","2"
"2023-01-01 21:15:08","10089","40.77","6"
"2023-01-01 21:15:37","10042","81.29","1"
"2023-01-01 21:30:55","10063","87.43","5"
"2023-01-01 21:32:30","10065","43.99","8"
"2023-01-01 21:33:24","10097","64.51","3"
"2023-01-01 21:33:27","10007","54.13","3"
"2023-01-01 21:39:19","10003","35","3"
"2023-01-01 21:39:54","10013","52.57","6"
"2023-01-01 21:46:48","10029","59.3","2"
"2023-01-02 08:01:52","10024","5.81","8"
"2023-01-02 08:05:34","10064","4.88","3"
"2023-01-02 08:05:59","10006","18.11","4"
"2023-01-02 08:13:27","10080","48.71","7"
"2023-01-02 08:18:30","10012","30.23","2"
"2023-01-02 08:28:25","10034","10.15","3"
"2023-01-02 08:34:30","10083","9.67","1"
"2023-01-02 08:39:14","10044","47.43","3"
"2023-01-02 08:45:19","10002","44.76","6"
"2023-01-02 08:46:38","10079","55.21","4"
"2023-01-02 08:48:17","10087","41.37","5"
"2023-01-02 08:58:22","10002","12.06","3"
"2023-01-02 08:59:37","10049","44.96","4"
"2023-01-02 08:59:37","10081","3.9","7"
"2023-01-02 09:02:36","10024","6.84","2"
"2023-01-02 09:05:49","10095","71.34","6"
"2023-01-02 09:05:57","10088","85.95","1"
"2023-01-02 09:09:20","10014","30.07","3"
"2023-01-02 09:13:05","10063","53.14","5"
"2023-01-02 09:22:22","10061","45.02","3"
"2023-01-02 09:24:06","10052","33.32","5"
"2023-01-02 09:32:16","10002","5.26","2"
"2023-01-02 09:38:03","10020","26.29","10"
"2023-01-02 09:39:44","10058","55.83","3"
"2023-01-02 09:44:52","10007","35.7","2"
"2023-01-02 09:53:36","10086","6.5","2"
"2023-01-02 09:55:15","10051","84.2","5"
"2023-01-02 10:04:11","10001","23.59","4"
"2023-01-02 10:05:38","10095","80.95","5"
"2023-01-02 10:09:19","10003","50.98","7"
"2023-01-02 10:11:09","10008","52.66","2"
"2023-01-02 10:24:11","10078","15.23","4"
"2023-01-02 10:31:25","10066","5.93","6"
"2023-01-02 10:39:47","10039","33.58","3"
"2023-01-02 10:40:15","10085","19.81","9"
"2023-01-02 10:41:46","10087","35.06","3"
"2023-01-02 10:41:57","10030","85.67","2"
"2023-01-02 10:45:18","10038","14.94","6"
"2023-01-02 10:46:40","10053","31.08","7"
"2023-01-02 10:46:58","10060","17.63","4"
"2023-01-02 10:48:02","10096","23.1","3"
"2023-01-02 10:55:30","10046","31.04","4"
"2023-01-02 10:57:42","10001","54.86","4"
"2023-01-02 11:06:41","10077","70.4","5"
"2023-01-02 11:10:18","10040","30.97","3"
"2023-01-02 11:17:50","10066","65.6","4"
"2023-01-02 11:27:23","10042","43.86","5"
"2023-01-02 11:30:40","10023","26.98","5"
"2023-01-02 11:30:58","10031","35.2","3"
"2023-01-02 11:31:31","10088","35.9","6"
"2023-01-02 11:54:04","10022","54.9","9"
"2023-01-02 12:02:44","10022","25.62","3"
"2023-01-02 12:15:58","10024","33.59","3"
"2023-01-02 12:19:48","10070","25.48","4"
"2023-01-02 12:21:45","10042","16.64","4"
"2023-01-02 12:30:19","10014","46.38","7"
"2023-01-02 12:34:35","10068","21.9","5"
"2023-01-02 12:36:41","10095","50.64","4"
"2023-01-02 12:40:20","10079","45.89","4"
"2023-01-02 12:41:12","10095","76.38","2"
"2023-01-02 12:54:35","10013","72.68","4"
"2023-01-02 13:06:15","10023","48.62","7"
"2023-01-02 13:08:43","10011","45.37","3"
"2023-01-02 13:10:36","10052","23.52","2"
"2023-01-02 13:15:14","10022","66.35","2"
"2023-01-02 13:26:59","10005","67.19","4"
"2023-01-02 13:31:19","10067","40.08","4"
"2023-01-02 13:33:47","10091","57.39","5"
"2023-01-02 13:45:32","10079","33.53","8"
"2023-01-02 13:55:05","10015","57.41","4"
"2023-01-02 13:56:02","10073","8.86","3"
"2023-01-02 13:59:35","10036","9.22","2"
"2023-01-02 14:05:12","10044","6.03","1"
"2023-01-02 14:07:52","10083","80.45","6"
"2023-01-02 14:10:35","10017","60.49","3"
"2023-01-02 14:11:46","10003","70.15","5"
"2023-01-02 14:14:11","10046","42.71","7"
"2023-01-02 14:22:08","10003","71.37","3"
"2023-01-02 14:32:47","10034","10.22","5"
"2023-01-02 14:34:45","10099","26.55","7"
"2023-01-02 14:35:23","10012","50.52","4"
"2023-01-02 14:38:54","10047","44.42","4"
"2023-01-02 14:39:52","10014","41.54","3"
"2023-01-02 14:41:42","10002","62.47","3"
"2023-01-02 14:42:27","10099","76.5","6"
"2023-01-02 14:47:17","10028","56.68","7"
"2023-01-02 14:52:27","10058","43.96","3"
"2023-01-02 14:53:13","10021","58.27","3"
"2023-01-02 14:59:10","10067","55.03","3"
"2023-01-02 15:04:34","10015","17.08","3"
"2023-01-02 15:09:35","10003","47.32","2"
"2023-01-02 15:15:08","10016","10.82","5"
"2023-01-02 15:19:13","10074","89.17","5"
"2023-01-02 15:24:03","10051","9.78","4"
"2023-01-02 15:31:17","10059","58.45","8"
"2023-01-02 15:35:51","10094","31.41","2"
"2023-01-02 15:37:27","10047","59.03","6"
"2023-01-02 15:41:11","10073","52.23","2"
"2023-01-02 15:44:01","10074","15.7","2"
"2023-01-02 15:47:46","10037","20.73","6"
"2023-01-02 15:53:14","10068","37.91","6"
"2023-01-02 16:14:15","10098","18.2","4"
"2023-01-02 16:22:46","10023","44.25","4"
"2023-01-02 16:30:51","10017","39.75","4"
"2023-01-02 16:34:54","10014","40.68","2"
"2023-01-02 16:35:54","10031","18.13","3"
"2023-01-02 16:36:18","10008","48.58","3"
"2023-01-02 16:46:57","10063","70.72","4"
"2023-01-02 16:47:02","10020","28.07","7"
"2023-01-02 16:49:11","10011","41.16","5"
"2023-01-02 16:49:21","10083","38.19","3"
"2023-01-02 16:50:19","10052","62.94","3"
"2023-01-02 17:01:12","10081","16.86","2"
"2023-01-02 17:07:25","10016","49.89","2"
"2023-01-02 17:18:46","10094","17.12","2"
"2023-01-02 17:20:15","10047","26.78","2"
"2023-01-02 17:22:13","10067","32.01","5"
"2023-01-02 17:24:24","10034","19.17","2"
"2023-01-02 17:25:29","10005","55.4","5"
"2023-01-02 17:25:58","10051","44.93","5"
"2023-01-02 17:27:04","10032","57.78","2"
"2023-01-02 17:28:24","10020","89.8","6"
"2023-01-02 17:28:45","10067","33.89","8"
"2023-01-02 17:30:03","10060","46.06","8"
"2023-01-02 17:32:17","10064","67.37","4"
"2023-01-02 17:37:26","10071","52.53","3"
"2023-01-02 17:38:17","10100","81.71","6"
"2023-01-02 17:38:31","10058","25.83","4"
"2023-01-02 17:46:23","10025","66.46","2"
"2023-01-02 17:51:33","10066","71.66","6"
"2023-01-02 18:19:14","10065","41.07","3"
"2023-01-02 18:29:51","10011","22.09","5"
"2023-01-02 18:31:30","10066","35.77","6"
"2023-01-02 18:36:55","10083","64.5","5"
"2023-01-02 18:56:32","10047","46.76","2"
"2023-01-02 18:58:32","10098","4.62","2"
"2023-01-02 19:06:59","10039","56.13","3"
"2023-01-02 19:07:42","10034","37.39","3"
"2023-01-02 19:11:32","10008","65.76","6"
"2023-01-02 19:12:42","10088","28.65","5"
"2023-01-02 19:19:05","10060","83.06","4"
"2023-01-02 19:23:57","10017","55.15","4"
"2023-01-02 19:28:55","10039","38.88","5"
"2023-01-02 19:41:09","10063","18.36","3"
"2023-01-02 19:51:26","10041","58.43","3"
"2023-01-02 20:01:46","10034","34.6","3"
"2023-01-02 20:06:38","10095","39.14","3"
"2023-01-02 20:09:25","10035","55.77","6"
"2023-01-02 20:13:21","10038","41.8","1"
"2023-01-02 20:17:18","10082","29.74","4"
"2023-01-02 20:20:58","10008","52.52","4"
"2023-01-02 20:24:47","10002","54.76","1"
"2023-01-02 20:26:09","10050","55.93","5"
"2023-01-02 20:28:32","10051","46.79","3"
"2023-01-02 20:29:01","10088","27.2","3"
"2023-01-02 20:40:33","10064","61.35","6"
"2023-01-02 20:45:58","10057","23.8","3"
"2023-01-02 20:54:03","10019","42.78","7"
"2023-01-02 20:57:58","10063","67.77","3"
"2023-01-02 21:09:08","10003","93.45","3"
"2023-01-02 21:21:33","10034","46.18","5"
"2023-01-02 21:28:55","10045","41.24","7"
"2023-01-02 21:29:18","10005","56.45","3"
"2023-01-02 21:29:40","10023","34.21","1"
"2023-01-02 21:30:39","10025","60.67","7"
"2023-01-02 21:35:07","10009","20.85","4"
"2023-01-02 21:41:16","10079","19.27","4"
"2023-01-02 21:43:39","10022","31.22","8"
"2023-01-02 21:46:45","10070","33.66","4"
"2023-01-03 08:08:21","10022","3.37","5"
"2023-01-03 08:15:29","10073","25.93","4"
"2023-01-03 08:15:46","10095","30.23","4"
"2023-01-03 08:15:58","10065","44.13","2"
"2023-01-03 08:17:27","10031","44.18","8"
"2023-01-03 08:25:47","10032","3.04","6"
"2023-01-03 08:28:41","10022","63.31","5"
"2023-01-03 08:33:12","10083","6.23","3"
"2023-01-03 08:39:16","10012","34.1","2"
"2023-01-03 08:44:10","10073","22.17","3"
"2023-01-03 08:45:46","10027","83.83","2"
"2023-01-03 08:46:25","10006","37.66","3"
"2023-01-03 08:56:37","10039","104.19","5"
"2023-01-03 09:01:30","10032","78.54","7"
"2023-01-03 09:07:54","10064","80.78","3"
"2023-01-03 09:14:55","10100","41.94","2"
"2023-01-03 09:17:47","10039","45.94","10"
"2023-01-03 09:32:22","10058","34.89","2"
"2023-01-03 09:38:30","10044","64.51","3"
"2023-01-03 09:39:11","10082","31.04","2"
"2023-01-03 09:41:57","10096","30.01","5"
"2023-01-03 09:43:45","10067","61.24","3"
"2023-01-03 10:04:35","10096","43.77","5"
"2023-01-03 10:05:11","10099","25.9","3"
"2023-01-03 10:10:06","10008","68.96","4"
"2023-01-03 10:11:52","10035","65.32","5"
"2023-01-03 10:16:52","10067","20.23","3"
"2023-01-03 10:22:44","10012","62.22","6"
"2023-01-03 10:50:08","10080","35.11","2"
"2023-01-03 11:13:45","10031","43.92","3"
"2023-01-03 11:19:47","10034","70.85","8"
"2023-01-03 11:23:40","10012","45.23","6"
"2023-01-03 11:49:34","10008","58.37","2"
"2023-01-03 11:52:23","10007","46.22","5"
"2023-01-03 11:52:36","10002","9.65","6"
"2023-01-03 11:58:04","10015","56.96","7"
"2023-01-03 12:06:23","10027","53.01","3"
"2023-01-03 12:06:23","10064","90.53","7"
"2023-01-03 12:12:33","10059","58.22","2"
"2023-01-03 12:14:41","10057","62.41","3"
"2023-01-03 12:14:45","10079","20.27","6"
"2023-01-03 12:19:47","10082","80.36","6"
"2023-01-03 12:23:05","10024","70.86","4"
"2023-01-03 12:30:12","10058","52.2","3"
"2023-01-03 12:34:48","10041","24.19","5"
"2023-01-03 12:49:09","10037","42.66","2"
"2023-01-03 12:49:37","10059","38.4","4"
"2023-01-03 12:50:22","10051","24.09","4"
"2023-01-03 12:51:08","10066","78.25","6"
"2023-01-03 13:18:10","10011","33.85","4"
"2023-01-03 13:23:13","10048","74.05","6"
"2023-01-03 13:26:32","10060","39.99","4"
"2023-01-03 13:29:57","10081","61.89","6"
"2023-01-03 13:31:20","10066","51.5","4"
"2023-01-03 13:36:27","10015","49.56","6"
"2023-01-03 13:40:30","10079","53.41","10"
"2023-01-03 13:46:05","10066","59.77","2"
"2023-01-03 13:46:08","10096","35.89","4"
"2023-01-03 13:49:45","10023","59.74","8"
"2023-01-03 13:54:53","10048","31.16","7"
"2023-01-03 14:04:41","10053","79.47","6"
"2023-01-03 14:10:39","10091","114.09","7"
"2023-01-03 14:11:42","10075","11.97","8"
"2023-01-03 14:12:26","10026","8.25","9"
"2023-01-03 14:14:47","10014","49.36","3"
"2023-01-03 14:24:08","10094","4.84","4"
"2023-01-03 14:41:45","10079","57","1"
"2023-01-03 14:57:44","10077","41.66","3"
"2023-01-03 14:58:30","10003","2.97","4"
"2023-01-03 15:20:40","10051","34.81","6"
"2023-01-03 15:25:43","10048","47.78","3"
"2023-01-03 15:28:32","10015","91.57","2"
"2023-01-03 15:34:03","10002","72.49","6"
"2023-01-03 15:36:27","10079","37.19","8"
"2023-01-03 15:44:27","10052","29.47","3"
"2023-01-03 15:53:55","10045","24","2"
"2023-01-03 15:54:35","10096","29.52","3"
"2023-01-03 15:56:23","10077","73.31","3"
"2023-01-03 16:02:05","10068","61.24","5"
"2023-01-03 16:03:25","10012","25.15","6"
"2023-01-03 16:16:43","10034","17.44","5"
"2023-01-03 16:18:24","10046","50.35","6"
"2023-01-03 16:44:25","10066","63.41","3"
"2023-01-03 16:46:58","10069","40.85","4"
"2023-01-03 16:48:32","10095","28.73","7"
"2023-01-03 16:53:27","10040","28.27","4"
"2023-01-03 17:02:03","10057","13","4"
"2023-01-03 17:06:07","10014","49.97","7"
"2023-01-03 17:07:59","10053","78.16","1"
"2023-01-03 17:12:06","10002","28.25","2"
"2023-01-03 17:16:04","10086","8.47","7"
"2023-01-03 17:17:23","10094","68.66","3"
"2023-01-03 17:25:54","10085","15.48","3"
"2023-01-03 17:38:32","10082","2.06","4"
"2023-01-03 17:40:25","10065","40.11","5"
"2023-01-03 17:53:09","10017","62.05","2"
"2023-01-03 17:54:09","10075","84.4","7"
"2023-01-03 18:02:17","10001","54.43","5"
"2023-01-03 18:04:57","10066","29.33","2"
"2023-01-03 18:05:55","10096","15.45","4"
"2023-01-03 18:26:07","10094","28.75","3"
"2023-01-03 18:43:12","10099","43","5"
"2023-01-03 18:53:35","10075","6.13","2"
"2023-01-03 19:08:19","10051","31.77","2"
"2023-01-03 19:19:14","10048","58.77","4"
"2023-01-03 19:20:49","10008","93.15","7"
"2023-01-03 19:21:38","10046","8.17","3"
"2023-01-03 19:27:36","10073","76.62","3"
"2023-01-03 19:34:46","10085","48.23","3"
"2023-01-03 19:36:43","10087","37.69","1"
"2023-01-03 20:01:13","10068","75.61","6"
"2023-01-03 20:01:44","10051","4.64","4"
"2023-01-03 20:01:56","10056","84.09","5"
"2023-01-03 20:07:25","10039","33.38","3"
"2023-01-03 20:09:01","10050","12.06","2"
"2023-01-03 20:14:44","10022","47.72","5"
"2023-01-03 20:29:17","10003","63.28","6"
"2023-01-03 20:33:44","10058","22.67","5"
"2023-01-03 20:34:15","10002","43.53","4"
"2023-01-03 20:40:48","10047","47.27","4"
"2023-01-03 20:48:05","10044","56.73","4"
"2023-01-03 20:48:55","10006","36.93","1"
"2023-01-03 20:50:21","10100","29.97","6"
"2023-01-03 20:54:54","10052","2.95","3"
"2023-01-03 20:55:23","10097","77.54","3"
"2023-01-03 20:55:58","10059","80.79","1"
"2023-01-03 21:04:27","10071","63.31","5"
"2023-01-03 21:09:16","10047","14.47","4"
"2023-01-03 21:10:08","10097","90.69","3"
